JudgeFullName,Summary
Mo Abdallah," |  | Due to the ambiguity of ""Mo Abdallah"" as a name, multiple profiles were discovered.  To provide a comprehensive answer, separate profiles will be presented based on the available information.  Please note that the lack of a specific institutional affiliation or area of research in the prompt makes this task challenging.


**Profile 1:  Mo Abdallah (Syracuse University)**

1. **Technical Expertise:**  The Syracuse University profile indicates a role as an Assistant Teaching Professor, but specifics regarding research methodologies and techniques are not readily available from the provided links. Further investigation into publications is needed.

2. **Research Applications:**  No specific research applications or patents are mentioned on the Syracuse University webpage.

3. **Specialized Knowledge:**  Unknown based on available information.

4. **Interdisciplinary Impact:**  Unknown based on available information.

5. **Active Projects:**  No current research initiatives or grants are listed on the Syracuse University webpage."
Riyad S. Aboutaha,"Forensic Engineering and Structural Failures; Structural Assessment and Rehabilitation; Bridge Rehabilitation with CFRP Composites; Economy of Preventive Maintenance; Deterioration of Existing Structures; Dr. Riyad Aboutaha, is an associate professor of structural engineering in the Department of Civil and Environmental Engineering at Syracuse University.  He is a Fellow of the American Concrete Institute (ACI). Dr. Aboutaha has over 40 years of construction and research experience.  In the last 32 years, he has been researching the use of new materials for renewal of civil infrastructure.  Dr. Aboutaha has offered numerous seminars and workshops on evaluation and rehabilitation of concrete bridges with CFRP composites, including some for the U.S.A.  Federal Highway Administration (FHWA), and the New York State Department of Transportation (NYSDOT).  In addition, he completed major research projects on the GFRP bar ComBAR for Schöck Bauteile GmbH of Baden-Baden, Germany, on the durability of wearing surfaces for FRP bridge decks, for NYSDOT, and most recently bridge widening using CFRP composites for Shandong DOT, China.  Prof. Aboutaha’s current research interests are in the area of economy of preventive maintenance of concrete bridges, investigation of structural failures, and alteration of structural systems using CFRP composites. | Bridge Pier Extension with Carbon-Fiber Reinforced Polymer Flexural Reinforcement: Experimental Tests and Three-Dimensional Finite Element Modeling, by Cheng Tan, Jia Xu, and Riyad Aboutaha, ACI Structural Journal, Vol. 118, No. 1, (2021) pp 251-262.; Cyclic Flexural Performance of Fire-Damaged Reinforced Concrete Beams Strengthened with Carbon Fiber- Reinforced Polymer Plates, by Akhrawat Lenwari, Chanachai Thongchom, and Riyad S. Aboutaha, ACI Structural Journal, Vol. 117, No. 6, (2020) pp. 133-146.; Xingji Lu, Riyad S. Aboutaha (2020), “Structural strengthening of square spread footings using circular external prestressing,”Journal of Building Engineering, Volume 31, September 2020.; Cheng Tana, Jia Xub and Riyad S. Aboutaha (2020), “Numerical analysis of RC hammer head pier cap beams,” Computers and Concrete, Vol. 25, No. 5.; Chanachai Thongchom, Akhrawat Lenwari, and Riyad S. Aboutaha (2019) “Effect of Sustained Service Loading on Post-Fire Flexural Response of Reinforced Concrete T-Beams,” ACI Structural Journal, Vol. 116, pp 243-254.; Jnaid, F., and Aboutaha, R. (2016) “Residual Flexural Strength of Corroded Reinforced Concrete Beams,” Elsevier, www.sciencedirect.com.; EI-Helou, R., and Aboutaha, R., “Analysis of Rectangular Hybrid Steel-GFRP Reinforced Concrete Beam Columns,” Computers and Concrete, Vol. 16, No. 2 (2015) pp. 245-260. | 1. Technical Expertise:  Finite element analysis (FEA), experimental testing of concrete structures (cyclic loading, fire damage, etc.), material characterization, structural health monitoring,  rehabilitation and strengthening of concrete structures (using CFRP composites, steel jackets, etc.),  bridge engineering,  preventive maintenance strategies for concrete bridges, investigation of structural failures.

2. Research Applications:  His research focuses on improving the durability, safety, and longevity of concrete bridges and other structures.  While specific patents are not readily apparent from online searches, his work on strengthening techniques directly translates into practical applications in bridge repair and maintenance.  His research has informed the development of new retrofitting strategies and preventive maintenance plans.

3. Specialized Knowledge: Expertise in using Fiber Reinforced Polymer (FRP) composites for structural strengthening and repair.  Experience with experimental testing setups and equipment necessary for characterizing the mechanical behavior of concrete and composite materials under various loading conditions (including fire and seismic events). Proficiency in FEA software for modeling and analyzing structural behavior.

4. Interdisciplinary Impact: Aboutaha's research bridges several disciplines, including civil engineering (structural engineering, materials science, construction engineering), mechanical engineering (material testing, FEA), and potentially computer science (data analysis for structural health monitoring). His work on predictive maintenance has applications in operations research and management science.

5. Active Projects: Specific details about current research projects and funding grants aren't fully detailed in easily accessible online sources. However, his university profile and ResearchGate page list several publications and suggest ongoing research in bridge engineering, particularly concerning the use of FRP and other strengthening techniques,  preventive maintenance, and seismic retrofitting.  Further investigation into university research grants databases might reveal specifics on current funding."
Nicole Adkins, |  | 
Jeongmin Ahn,"Energy conversion; Electrochemistry; Combustion; Thermal management; Professor Ahn’s research primarily concerns electrochemistry, combustion, power generation, propulsion and thermal management, with a recent emphasis on advanced energy conversion systems using solid oxide fuel cells (SOFCs). Prof. Ahn has performed an experimental investigation of catalytic and non-catalytic combustion in heat recirculating combustors, fuel cells: fabrication, test and characterization of all types of SOFCs (dual-chamber, single-chamber and no-chamber, which is also called as a flame-assisted fuel cell), micro heat engines, thermoacoustic engines, thermal transpiration based pumping/propulsion and power generation, all solid state batteries, bio/electro corrosion of implants, and bio based materials for energy applications. | Alexander R. Hartwell, Cole A. Wilhelm, Thomas S. Welles, Ryan J. Milcarek, and Jeongmin Ahn, “Effects of Synthesis Gas Concentration, Composition, and Operational Time on Tubular Solid Oxide Fuel Cell Performance”,Sustainability, Vol. 14, pp. 7983 (2022).; Thomas S. Welles, and Jeongmin Ahn, “Comparison of In Vitro Corrosion Products on CoCrMo generated via Oscillatory Electric Fields Before and After Removal of Proteinaceous Layer”,Materialia,Vol. 22, pp. 101400 (2022).; Brent B. Skabelund, Hisashi Nakamura, Takuya Tezuka, Kaoru Maruta, Jeongmin Ahn, and Ryan J. Milcarek, “Thermal Partial Oxidation ofn-Butane in a Micro-Flow Reactor and Solid Oxide Fuel Cell Stability Assessment”,Energy Conversion & Management, Vol. 254, pp. 115222 (2022).; Thomas S. Welles, and Jeongmin Ahn, “Driving Electrochemical Corrosion of Implanted CoCrMo Metal via Oscillatory Electric Fields without Mechanical Wear”,Nature-Scientific Reports, Vol. 11, pp. 22366 (2021).; Alexander R. Hartwell, Thomas S. Welles, and Jeongmin Ahn, “The Anode Supported Internal Cathode Tubular Solid Oxide Fuel Cell: A Novel Cell Geometry for Combined Heat and Power Applications”,International Journal of Hydrogen Energy, Vol. 46, Issue 75, pp. 37429-37439 (2021).; Thomas S. Welles, and Jeongmin Ahn, “Investigation of the Effects of Electrochemical Reactions on Complex Metal Tribocorrosion within the Human Body”,Heliyon, Vol. 7, Issue 5, pp. e07023 (2021).; Thomas S. Welles, and Jeongmin Ahn, “Novel Investigation of Perovskite Membrane Based Electrochemical Nitric Oxide Control Phenomenon”,Nature-Scientific Reports, Vol. 10, Issue 1, pp. 18750 (2020).; Brent B. Skabelund, Hisashi Nakamura, Takuya Tezuka, Kaoru Maruta, Jeongmin Ahn, and Ryan J. Milcarek, “Impact of Low Concentration Hydrocarbons in Natural Gas on Thermal Partial Oxidation in a Micro-Flow Reactor for Solid Oxide Fuel Cell Applications”,Journal of Power Sources, Vol. 477, pp. 229007 (2020).; Ryan J. Milcarek, Vincent P. DeBiase, and Jeongmin Ahn, “Investigation of Startup, Performance and Cycling of a Residential Furnace Integrated with micro-Tubular Flame-assisted Fuel Cells for Micro-Combined Heat and Power”,Energy, Vol. 196, pp. 117148 (2020).; Ryan J. Milcarek, Hisashi Nakamura, Takuya Tezuka, Kaoru Maruta, and Jeongmin Ahn, “Investigation of Microcombustion Reforming of Ethane/Air and Micro-Tubular Solid Oxide Fuel Cells”,Journal of Power Sources, Vol. 450, Issue 29, pp. 227606 (2020). | 1. Technical Expertise: Electrochemistry, combustion, power generation, propulsion, thermal management, fuel cells, batteries, PowerMEMS,  simulation and experimental design for self-shaping solid oxide fuel cells,  materials synthesis (specifically for SOFCs),  corrosion mechanisms of metal-based implants,  occupancy detection and people counting using passive infrared sensors.  Methodologies include experimental work, simulation, and design methodologies for complex ceramic structures.

2. Research Applications: Patents related to solid oxide fuel cell modular systems, control of electrically driven corrosion of medical implants,  occupancy detection and people counting, and methods for forming complex ceramic structures.  Applications span advanced energy conversion,  medical devices, and building automation.

3. Specialized Knowledge: Expertise in solid oxide fuel cells (SOFCs), micro combustion and power generation systems, and the application of electrochemistry to energy and medical contexts.  Specific equipment and tools used are not explicitly stated in the readily available online sources but would likely include electrochemical testing equipment,  combustion apparatus,  material synthesis tools, and possibly advanced imaging techniques.

4. Interdisciplinary Impact: Research bridges mechanical and aerospace engineering with materials science, chemistry (electrochemistry), and potentially biomedical engineering (through implant corrosion research).  There are also connections to energy systems and building automation through occupancy detection and power generation work.

5. Active Projects:  Information on current research initiatives and grants is not fully available in the easily accessible online sources. However, his work with the Mycelium Research Group suggests ongoing research in areas of advanced energy conversion and alternative energy sources.  His role as an editor for various publications implies continued involvement in the broader research community."
Ben Akih-Kumgeh," |  | 1. **Technical Expertise:** Experimental and computational methods in combustion and thermodynamics;  kinetic modeling;  characterization of fuel blends; thermodynamic analysis of energy systems; computer-aided engineering of clean and efficient combustion technologies.

2. **Research Applications:**  Development of clean and efficient combustion technologies; fuel cell technology (potentially patents related to this area, further investigation needed to confirm specific patent numbers and titles).

3. **Specialized Knowledge:**  Use of experimental setups (e.g., rapid compression machines, shock tubes) for combustion studies; computational modeling techniques for simulating combustion processes; specialized equipment for fuel characterization and analysis.

4. **Interdisciplinary Impact:** Connections to chemical engineering (combustion chemistry), mechanical engineering (thermodynamics, energy systems), and potentially materials science (fuel cell materials).

5. **Active Projects:** Information about specific current research initiatives and grants requires access to his university profile or publications list for detailed information on current funding sources and projects.  The Thermodynamics and Combustion Laboratory at Syracuse University is a likely site for many of his projects."
Alaa Alawaad," |  | 1. Technical Expertise:  Insufficient information to determine specific methodologies and techniques used in research.  Based on his role as a computer consultant at Syracuse University, his expertise likely lies in IT infrastructure, systems management, and potentially programming languages (C++, HTML mentioned on LinkedIn).

2. Research Applications: No evidence of patents or published research applications.

3. Specialized Knowledge:  Specialized knowledge is likely in IT infrastructure management, system administration, and troubleshooting within a university setting.  No specialized tools or approaches used in research are identified.

4. Interdisciplinary Impact:  No identified interdisciplinary connections in his work based on current information.

5. Active Projects: No current research initiatives or grants are identified.  His activities are primarily focused on IT support at Syracuse University."
Sharon Alestalo," |  | 1. **Technical Expertise:** Qualitative research methodologies, including case studies, surveys, and interviews; analysis of institutional data and policies related to gender equity; program evaluation;  development and implementation of diversity and inclusion initiatives.

2. **Research Applications:** Improving gender equity and inclusion in STEM fields, particularly in geotechnical engineering; developing and evaluating programs to support women faculty in STEM; promoting mentorship and networking opportunities for women in academia.  No patents identified in the available resources.

3. **Specialized Knowledge:** Expertise in the challenges and barriers faced by women in STEM academia;  understanding of best practices for promoting gender equity in higher education; experience designing and implementing interventions to improve diversity and inclusion.  No specialized equipment beyond standard tools for social science research identified.

4. **Interdisciplinary Impact:**  Connects social sciences (especially sociology and education), engineering, and higher education administration. Her work intersects with fields of gender studies, organizational behavior, and program evaluation.

5. **Active Projects:**  Past projects included research on networking among geotechnical engineering faculty (NSF-funded) and initiatives to engage male faculty in creating equity for women STEM faculty.  Her current role as Program Director at Syracuse University's Women in Science and Engineering (WiSE) program indicates ongoing work in this area. Specific details on current grants may require further searching."
Sahar Almahmoud," |  | 1. Technical Expertise:  Not applicable.  Based on available information, Sahar Almahmoud's role at Syracuse University is primarily administrative (Graduate Programs Coordinator) and not focused on conducting independent research.

2. Research Applications: Not applicable.

3. Specialized Knowledge: Not applicable.

4. Interdisciplinary Impact: Not applicable.

5. Active Projects: Not applicable.  While she likely supports research projects within the College of Engineering and Computer Science,  no specific projects are attributed to her directly."
Jackie Anderson, |  | Insufficient information provided to complete the request.  Please specify the department of Jackie Anderson to allow for a targeted search and a complete profile generation.
Michelle Anson-Silverstein," |  | Inadequate data available to fulfill the request.  The online search results did not yield sufficient information to comprehensively profile Michelle Anson-Silverstein's technical expertise.  The available information points to her role as a computer consultant at Syracuse University, but does not reveal details regarding her research methodologies, applications, specialized knowledge, interdisciplinary impact, or active projects.  Further information sources are needed to complete this task."
