Judge,Judge FirstName,Judge LastName,Department,Hour available,Research_Expertise
1,Jeongmin,Ahn,MAE,1,"1. Core Research Areas: Advanced energy conversion, Fuel cells, Batteries, Electrochemistry, Combustion, Thermal management, PowerMEMS

2. Key Publications:  I cannot provide specific papers and their impact without access to full publication details and citation counts, which is beyond the scope of these tools.  However, a Google Scholar search reveals a significant number of publications. To provide a robust analysis, I need direct access to a publication database such as Scopus or Web of Science to determine the most highly cited and impactful papers.  Information from Syracuse University's website would also be helpful to identify key publications highlighted by the university itself.

3. Research Focus: Professor Ahn's research centers on the development and improvement of energy conversion technologies, particularly focusing on the intersection of electrochemistry, combustion, and thermal management. His work likely involves both experimental and computational methods to study and optimize the performance and efficiency of various energy systems. Specific sub-specialties might include fuel cell technology, battery technology, or the development of micro-energy systems (PowerMEMS).

4. Recent Work:  Determining current research directions requires accessing recent publications and potentially looking for information on ongoing projects on Professor Ahn's university profile page or research group websites. This would require specific links to such pages which were not provided.

5. Notable Contributions:  Identifying significant findings or breakthroughs would necessitate a detailed review of Professor Ahn's publications, which is beyond the capability of these tools without direct access to databases and specific publication lists.  However, his expertise in multiple fields suggests he may have made contributions to fuel cell efficiency, battery design, or micro-energy system integration.  More specific details require deeper research within his publications."
2,Ben ,Akih-Kumgeh,MAE,1,"1. **Technical Expertise:** Combustion physics and chemistry, experimental characterization of combustion properties, combustion modeling, thermodynamics, energy conversion, propulsion.  Methodologies include experimental techniques (likely involving shock tubes and other specialized combustion equipment based on publication titles) and computational modeling.

2. **Research Applications:**  The provided search results suggest a potential connection to fuel cell technology (mentioned in relation to patents) although specific patent numbers or applications were not readily available from quick searches. More in-depth patent searching would be needed for a conclusive list.  His research also has applications in energy conversion and propulsion.

3. **Specialized Knowledge:**  Uses specialized combustion equipment (details require further investigation of publications).  Access to and expertise in operating shock tubes are implied.  Experience with computational fluid dynamics (CFD) modeling and kinetic modeling is highly probable given the research area.

4. **Interdisciplinary Impact:**  The research likely involves interdisciplinary connections with chemistry (chemical kinetics), materials science (for fuel cell development if applicable), and potentially engineering (design and optimization of combustion systems).

5. **Active Projects:** Current research initiatives and grants were not explicitly stated in readily accessible online resources.  Further investigation into Syracuse University's grant databases or Ben Akih-Kumgeh's publications would be necessary to identify ongoing projects and funding sources.  The existence of numerous publications and citations on Google Scholar indicates active research."
3,Jesse Q. ,Bond,BMCE,2,"1. Core Research Areas: Heterogeneous catalysis, Bio-based fuels and chemicals, Reaction engineering, Biomass processing, Catalytic kinetics, Energy,  Materials science (based on collaborations and research group affiliations).

2. Key Publications:  I cannot definitively identify the 2-3 *most* significant papers without access to citation metrics beyond Google Scholar's general citation count (which is readily available).  However, based on the available information and the prominence of his research themes, likely significant publications would fall within the areas of biomass conversion to fuels, catalytic kinetics, and potentially a review paper summarizing his work in one of these areas.  A detailed analysis of individual publications requires access to the full-text papers themselves and advanced citation analysis tools.

3. Research Focus: Professor Bond's research focuses on the design and application of catalytic processes, particularly for the conversion of biomass into biofuels and other valuable chemicals.  He uses experimental and computational methods to understand catalytic reaction mechanisms and develop new catalysts. His work is highly relevant to sustainable energy and chemical production. His expertise also extends to reaction engineering and the characterization of catalytic materials.

4. Recent Work:  Specific details on ongoing research projects are not readily available without access to his lab's website or internal university resources.  However, based on his established research areas, it is likely that current work continues along the lines of biomass conversion, catalyst design, and the application of advanced characterization techniques.

5. Notable Contributions: While specific breakthroughs cannot be identified without detailed access to his publications, his significant citation count (6990 at the time of this search) suggests considerable impact within his field.  His involvement in projects related to converting lignocellulosic biomass into jet fuel surrogates also hints at contributions to the development of sustainable aviation fuels.  His work on catalytic kinetics and reaction mechanisms has likely advanced the understanding and design of efficient catalytic processes."
4,Elizabeth ,Carter,CEE,both,"1. Technical Expertise: Computational hydrology, applied computational hydroclimatology, remote sensing, data science, risk assessment, flood forecasting, water resources management.  Uses globally-available earth observations.

2. Research Applications:  Her research focuses on using data from satellites to study water movement, with implications for flood forecasting and water resource management.  No specific patents mentioned in readily available sources.  The practical application is improved forecasting and management of water resources, particularly concerning flood risk and equitable distribution.

3. Specialized Knowledge:  Expertise in fusing tools from modern data science with risk assessment in hydrology. Uses data from satellites and other earth observations.

4. Interdisciplinary Impact:  Her work bridges civil and environmental engineering, Earth and environmental sciences, data science, and potentially social sciences (given mention of equity in water resource management).

5. Active Projects: Current research involves studying and forecasting floods using satellite data.  Specific grant information is not readily available through the initial searches.  More detailed information about current projects would likely require accessing Syracuse University's internal research databases."
5,C.Y. Roger ,Chen,EECS,2,"1. Core Research Areas: VLSI design, low-power circuit design, timing analysis and simulation, computer architecture, multimedia systems.

2. Key Publications:  Specific publications require access to a database like IEEE Xplore or Google Scholar for accurate citation information and impact.  The provided search results suggest a significant body of work, but precise titles and impact factors are unavailable without accessing those databases.  However, based on the mentions in the search results,  publications related to VLSI timing analysis and low-power circuit design are likely among his most significant.

3. Research Focus: Professor C.Y. Roger Chen's research centers on the design and optimization of very-large-scale integration (VLSI) circuits, focusing on reducing power consumption and improving performance.  This involves work on  timing analysis and simulation techniques at both the transistor and circuit levels. His research also extends to multimedia systems, potentially focusing on efficient data management and processing for multimedia applications.

4. Recent Work:  Based on limited information, recent work likely includes ongoing research on techniques to reduce leakage power in circuits during idle times (mentioned on Syracuse University website).  More specific details require access to more recent publications or his research group's website.

5. Notable Contributions:  Precise details of significant findings or breakthroughs are unavailable without accessing his full publication record. However, his long tenure (nearly 37 years at Syracuse University) and numerous publications suggest a significant cumulative contribution to the fields of VLSI design and low-power circuit design.  His work likely advanced techniques in timing analysis, power optimization, and possibly multimedia system architecture.  The establishment of a scholarship in his honor further underscores his significant contributions to student mentorship and the field."
6,Ruth,Chen,CEE,both,"1. Technical Expertise: Environmental toxicology, potentially building energy and environmental systems (based on lab affiliation mentioned on her Syracuse University profile).  Further specifics on methodologies and techniques are not readily available on publicly accessible profiles.

2. Research Applications:  Practical applications and patents are not explicitly stated in the accessible online resources. Her research likely relates to environmental remediation and/or sustainable building practices given her background and affiliations.

3. Specialized Knowledge:  The Building Energy and Environmental Systems Laboratory at Syracuse University suggests expertise in the tools and technologies used within that lab.  Specific equipment and tools are not publicly listed.

4. Interdisciplinary Impact: Her work connects environmental engineering with toxicology, and possibly with biomedical and chemical engineering, as she is exploring collaborations in those fields.

5. Active Projects: Current research initiatives and grants are not detailed in readily available online materials.  She is actively exploring collaborations with faculty members in biomedical, chemical, and environmental engineering."
7,John F. ,Dannenhoffer,MAE,1,"1. Core Research Areas: Computational Fluid Dynamics (CFD), Design Optimization, Computer-Aided Design (CAD),  Aerospace Engineering, Engineering Education.

2. Key Publications: While a complete list isn't readily available from the sources used, the Engineering Sketch Pad (ESP) is repeatedly cited as a significant contribution.  Further key publications would require access to a complete publication list from a database like Google Scholar or Scopus, which are not available as tools here.  The ResearchGate profile suggests additional work in design optimization and distributed engineering design teams.

3. Research Focus: Professor Dannenhoffer's expertise centers on developing and applying computational methods to solve engineering design problems, particularly in aerospace.  His work focuses on improving the efficiency and effectiveness of the design process using tools like the Engineering Sketch Pad. He has also contributed to research on geographically distributed engineering teams and associated design challenges.  His background in CFD is evident in his early research and likely continues to underpin many aspects of his current work.

4. Recent Work:  Pinpointing precise recent work requires access to a more updated publication list or his university's research portal. The available information points towards ongoing work in design optimization, likely using advancements in CAD and CFD. Based on his past work with the Engineering Sketch Pad, it is likely he is continuing to improve or adapt this tool for new applications or software platforms.

5. Notable Contributions: The Engineering Sketch Pad (ESP) is Professor Dannenhoffer's most notable contribution. It's a computer-based system that significantly aids in the optimal design and analysis of engineering systems.  The impact of this tool is likely substantial within the aerospace field and potentially other related design areas.  Further contributions would need additional research beyond the current source analysis to fully enumerate."
8,Gabriel Silva ,De Oliveira,EECS,2,"1. **Technical Expertise:**  Research methodologies in Computer Science Education, focusing on qualitative research methods (likely involving interviews, surveys, and qualitative data analysis) to understand student learning difficulties in programming, specifically ""coding struggle"".  Further details about specific techniques require reviewing his publications.

2. **Research Applications:** No patents or direct industrial applications are immediately evident.  The research primarily focuses on improving pedagogy and student learning outcomes in introductory computer science courses.

3. **Specialized Knowledge:** No unique tools or approaches beyond those common in qualitative research in Computer Science Education are explicitly mentioned.  This may be identified by further reviewing his publications.

4. **Interdisciplinary Impact:**  The work connects Computer Science Education with educational psychology, leveraging insights from learning theories to improve teaching practices and address common challenges faced by novice programmers.

5. **Active Projects:** Current research initiatives and grants are not explicitly listed on the readily available profiles.  Further investigation into his university profile or publication records would be needed to identify these."
9,Bing ,Dong,MAE,both,"1. Core Research Areas: Building energy performance simulation, smart building systems, occupancy behavior modeling, Building Information Modeling (BIM), urban energy systems, cyber-physical energy systems, and  mycelium-based composites for sustainable building materials.


2. Key Publications:  Specific publications require accessing Bing Dong's Google Scholar profile and ResearchGate profile for details.  Unfortunately, I cannot directly access and interpret web pages, including PDFs. The provided observations indicate a large number of publications, but I can't provide specifics on titles and impact without direct access to those resources. To get a better understanding of his key publications, I would suggest looking at his Google Scholar profile for his most cited works and those published in high impact journals.


3. Research Focus:  Professor Dong's research centers on improving the energy efficiency and sustainability of buildings and urban environments.  He uses advanced modeling and simulation techniques to understand how building design, occupancy patterns, and energy systems interact.  His work extends to developing and implementing smart building technologies for optimized energy management and exploring sustainable building materials, like mycelium-based composites.


4. Recent Work: Professor Dong's recent research includes exploring how smart buildings integrate into larger urban-scale cyber-physical energy systems. This involves investigating energy optimization strategies across entire cities rather than focusing solely on individual buildings. His recent publications also touch on modeling and optimization of urban energy systems and exploring sustainable, mycelium-based building materials.


5. Notable Contributions: Professor Dong's contributions include advancements in building energy performance simulation, occupancy behavior modeling, and the integration of smart building technologies into broader urban energy systems.  His work has likely significantly impacted the field of building sustainability and energy management.  His recent award as an IBPSA World Fellow further highlights his significant contribution to the research community.  The specific details of his notable breakthroughs would necessitate reviewing his publication list in detail."
10,Zhenyu ,Gan,MAE,both,"1. Technical Expertise: Multibody dynamics, gait pattern analysis of bipedal and quadrupedal locomotion, control of body-powered exoskeletons, nonlinear dynamics, robotics, reinforcement learning, energetic analysis of optimal bounding gaits, variable hydraulic transmission modeling and experimental evaluation, leveraging symmetries in gaits for reinforcement learning.  Specific techniques include using  models of quadrupedal robots, experimental validation using physical robots, and application of reinforcement learning algorithms.

2. Research Applications:  Research focuses on improving the efficiency and robustness of legged robot locomotion.  This has implications for the development of more agile and versatile robots for various applications such as search and rescue, exploration, and industrial automation. No patents explicitly identified in readily available sources.

3. Specialized Knowledge: Expertise in the dynamics of legged locomotion, particularly the use of symmetry principles to design and control gaits.  The use of both simulation and physical experiments is notable.  Work includes use of variable hydraulic transmissions in robotic systems.

4. Interdisciplinary Impact:  Strong interdisciplinary connections between mechanical engineering, robotics, and control theory.  Research also touches upon aspects of computer science (reinforcement learning) and potentially biology (bio-inspired locomotion).

5. Active Projects: Current research initiatives involve studying asymmetrical bounding gaits in quadrupedal robots, energy-optimal gait selection, and safe online robotic gait design. Funding sources are not explicitly stated in readily available online resources.  However, association with the Autonomous Systems Policy Institute at Syracuse University suggests involvement in grant-funded projects."
